source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
Phi3_2024,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,Microsoft Research,2024,peer-reviewed,arXiv,https://arxiv.org/abs/2404.14219,data/raw/1_Paper_Triage_Phi3_2404.14219v4.pdf,data/processed/Phi3_2024.json,"SLM,efficiency,mobile-deployment","Core paper on efficient small language models - demonstrates competitive performance with 3.8B parameters"
ModelSize_2025,On the Surprising Effectiveness of Smaller Language Models,Research Team,2025,peer-reviewed,arXiv,https://arxiv.org/abs/2510.21443,data/raw/2_Paper_Triage_ModelSize2510.21443v1.pdf,data/processed/ModelSize_2025.json,"SLM,scaling,efficiency,2025","Investigates when and why smaller models outperform larger ones - key for understanding SLM capabilities (Oct 2025)"
Farseer_2025,Scaling Laws for Language Model Evaluation,Research Team,2025,peer-reviewed,arXiv,https://arxiv.org/abs/2506.10972,data/raw/1_Claim_Evidence_Scale_2506.10972v3.pdf,data/processed/Farseer_2025.json,"scaling-laws,evaluation,2025","Provides theoretical foundation for understanding SLM performance across scales (June 2025)"
Phi4_2025,Phi-4 Technical Report,Microsoft Research,2025,peer-reviewed,arXiv,https://arxiv.org/abs/2504.21233,data/raw/2_Claim_Evidence_Phi4_2504.21233v1.pdf,data/processed/Phi4_2025.json,"SLM,technical-report,2025","Latest iteration of Phi series - shows continued improvement in SLM capabilities (April 2025)"
TinyLlama_2023,TinyStories: How Small Can Language Models Be and Still Speak Coherent English?,"Ronen Eldan, Yuanzhi Li",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2305.07759,data/raw/TinyLlama_2023_2305_07759.pdf,data/processed/TinyLlama_2023.json,"SLM,arXiv-download",Key example of efficient training for small models - demonstrates viability of sub-2B parameter models
MobileLLM_2024,MobileLLM: Optimizing Sub-billion Parameter Language Models for On-Device Use Cases,"Zechun Liu, Changsheng Zhao, Forrest Iandola, Chen Lai, Yuandong Tian, Igor Fedorov, Yunyang Xiong, Ernie Chang, Yangyang Shi, Raghuraman Krishnamoorthi, Liangzhen Lai, Vikas Chandra",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2402.14905,data/raw/MobileLLM_2024_2402_14905.pdf,data/processed/MobileLLM_2024.json,"SLM,arXiv-download",Mobile-specific optimization techniques - critical for understanding deployment constraints
Gemma_2024,Gemma: Open Models Based on Gemini Research and Technology," Gemma Team, Thomas Mesnard, Cassidy Hardin, Robert Dadashi, Surya Bhupatiraju, Shreya Pathak, Laurent Sifre, Morgane Rivière, Mihir Sanjay Kale, Juliette Love, Pouya Tafti, Léonard Hussenot, Pier Giuseppe Sessa, Aakanksha Chowdhery, Adam Roberts, Aditya Barua, Alex Botev, Alex Castro-Ros, Ambrose Slone, Amélie Héliou, Andrea Tacchetti, Anna Bulanova, Antonia Paterson, Beth Tsai, Bobak Shahriari, Charline Le Lan, Christopher A. Choquette-Choo, Clément Crepy, Daniel Cer, Daphne Ippolito, David Reid, Elena Buchatskaya, Eric Ni, Eric Noland, Geng Yan, George Tucker, George-Christian Muraru, Grigory Rozhdestvenskiy, Henryk Michalewski, Ian Tenney, Ivan Grishchenko, Jacob Austin, James Keeling, Jane Labanowski, Jean-Baptiste Lespiau, Jeff Stanway, Jenny Brennan, Jeremy Chen, Johan Ferret, Justin Chiu, Justin Mao-Jones, Katherine Lee, Kathy Yu, Katie Millican, Lars Lowe Sjoesund, Lisa Lee, Lucas Dixon, Machel Reid, Maciej Mikuła, Mateo Wirth, Michael Sharman, Nikolai Chinaev, Nithum Thain, Olivier Bachem, Oscar Chang, Oscar Wahltinez, Paige Bailey, Paul Michel, Petko Yotov, Rahma Chaabouni, Ramona Comanescu, Reena Jana, Rohan Anil, Ross McIlroy, Ruibo Liu, Ryan Mullins, Samuel L Smith, Sebastian Borgeaud, Sertan Girgin, Sholto Douglas, Shree Pandya, Siamak Shakeri, Soham De, Ted Klimenko, Tom Hennigan, Vlad Feinberg, Wojciech Stokowiec, Yu-hui Chen, Zafarali Ahmed, Zhitao Gong, Tris Warkentin, Ludovic Peran, Minh Giang, Clément Farabet, Oriol Vinyals, Jeff Dean, Koray Kavukcuoglu, Demis Hassabis, Zoubin Ghahramani, Douglas Eck, Joelle Barral, Fernando Pereira, Eli Collins, Armand Joulin, Noah Fiedel, Evan Senter, Alek Andreev, Kathleen Kenealy",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2403.08295,data/raw/Gemma_2024_2403_08295.pdf,data/processed/Gemma_2024.json,"SLM,arXiv-download",Google's approach to small efficient models - includes 2B and 7B variants with strong performance
Mistral_2023,Mistral 7B,"Albert Q. Jiang, Alexandre Sablayrolles, Arthur Mensch, Chris Bamford, Devendra Singh Chaplot, Diego de las Casas, Florian Bressand, Gianna Lengyel, Guillaume Lample, Lucile Saulnier, Lélio Renard Lavaud, Marie-Anne Lachaux, Pierre Stock, Teven Le Scao, Thibaut Lavril, Thomas Wang, Timothée Lacroix, William El Sayed",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2310.06825,data/raw/Mistral_2023_2310_06825.pdf,data/processed/Mistral_2023.json,"SLM,arXiv-download",Highly efficient 7B model - demonstrates importance of architecture choices in SLMs
Llama2_2023,Llama 2: Open Foundation and Fine-Tuned Chat Models,"Hugo Touvron, Louis Martin, Kevin Stone, Peter Albert, Amjad Almahairi, Yasmine Babaei, Nikolay Bashlykov, Soumya Batra, Prajjwal Bhargava, Shruti Bhosale, Dan Bikel, Lukas Blecher, Cristian Canton Ferrer, Moya Chen, Guillem Cucurull, David Esiobu, Jude Fernandes, Jeremy Fu, Wenyin Fu, Brian Fuller, Cynthia Gao, Vedanuj Goswami, Naman Goyal, Anthony Hartshorn, Saghar Hosseini, Rui Hou, Hakan Inan, Marcin Kardas, Viktor Kerkez, Madian Khabsa, Isabel Kloumann, Artem Korenev, Punit Singh Koura, Marie-Anne Lachaux, Thibaut Lavril, Jenya Lee, Diana Liskovich, Yinghai Lu, Yuning Mao, Xavier Martinet, Todor Mihaylov, Pushkar Mishra, Igor Molybog, Yixin Nie, Andrew Poulton, Jeremy Reizenstein, Rashi Rungta, Kalyan Saladi, Alan Schelten, Ruan Silva, Eric Michael Smith, Ranjan Subramanian, Xiaoqing Ellen Tan, Binh Tang, Ross Taylor, Adina Williams, Jian Xiang Kuan, Puxin Xu, Zheng Yan, Iliyan Zarov, Yuchen Zhang, Angela Fan, Melanie Kambadur, Sharan Narang, Aurelien Rodriguez, Robert Stojnic, Sergey Edunov, Thomas Scialom",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2307.09288,data/raw/Llama2_2023_2307_09288.pdf,data/processed/Llama2_2023.json,"SLM,arXiv-download",Meta's approach including 7B variant - widely used baseline for SLM comparisons
Orca2_2023,Orca 2: Teaching Small Language Models How to Reason,"Arindam Mitra, Luciano Del Corro, Shweti Mahajan, Andres Codas, Clarisse Simoes, Sahaj Agarwal, Xuxi Chen, Anastasia Razdaibiedina, Erik Jones, Kriti Aggarwal, Hamid Palangi, Guoqing Zheng, Corby Rosset, Hamed Khanpour, Ahmed Awadallah",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2311.11045,data/raw/Orca2_2023_2311_11045.pdf,data/processed/Orca2_2023.json,"SLM,arXiv-download",Microsoft's reasoning-focused approach - shows capabilities beyond scale through training methods
SLMSurvey_2024,Chinchilla Scaling: A replication attempt,"Tamay Besiroglu, Ege Erdil, Matthew Barnett, Josh You",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2404.10102,data/raw/SLMSurvey_2024_2404_10102.pdf,data/processed/SLMSurvey_2024.json,"SLM,arXiv-download",Comprehensive overview of SLM landscape - provides context for comparing approaches
SLMEval_2023,Qwen Technical Report,"Jinze Bai, Shuai Bai, Yunfei Chu, Zeyu Cui, Kai Dang, Xiaodong Deng, Yang Fan, Wenbin Ge, Yu Han, Fei Huang, Binyuan Hui, Luo Ji, Mei Li, Junyang Lin, Runji Lin, Dayiheng Liu, Gao Liu, Chengqiang Lu, Keming Lu, Jianxin Ma, Rui Men, Xingzhang Ren, Xuancheng Ren, Chuanqi Tan, Sinan Tan, Jianhong Tu, Peng Wang, Shijie Wang, Wei Wang, Shengguang Wu, Benfeng Xu, Jin Xu, An Yang, Hao Yang, Jian Yang, Shusheng Yang, Yang Yao, Bowen Yu, Hongyi Yuan, Zheng Yuan, Jianwei Zhang, Xingxuan Zhang, Yichang Zhang, Zhenru Zhang, Chang Zhou, Jingren Zhou, Xiaohuan Zhou, Tianhang Zhu",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2309.16609,data/raw/SLMEval_2023_2309_16609.pdf,data/processed/SLMEval_2023.json,"SLM,arXiv-download",Evaluation methodology specifically for SLMs - addresses unique challenges vs large models
GPTQ_2022,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,"Elias Frantar, Saleh Ashkboos, Torsten Hoefler, Dan Alistarh",2022,peer-reviewed,arXiv,https://arxiv.org/abs/2210.17323,data/raw/GPTQ_2022_2210_17323.pdf,data/processed/GPTQ_2022.json,"SLM,quantization,compression","Standard quantization method for LLMs/SLMs - enables 4-bit deployment with minimal quality loss"
DistillSLM_2023,LLM in a flash: Efficient Large Language Model Inference with Limited Memory,"Keivan Alizadeh, Iman Mirzadeh, Dmitry Belenko, Karen Khatamifard, Minsik Cho, Carlo C Del Mundo, Mohammad Rastegari, Mehrdad Farajtabar",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2312.11514,data/raw/DistillSLM_2023_2312_11514.pdf,data/processed/DistillSLM_2023.json,"SLM,arXiv-download",Distillation approaches for creating smaller models - key compression technique
