Claim,Evidence Snippet,Citation,Confidence,Notes
Gemma 2: Improving Open Language Models at a Practical Size,"eff Dean
Demis Hassabis
Koray Kavukcuoglu
Clement Farabet
Technical advisors
Elena Buchatskaya
Sebastian Borgeaud
Noah Fiedel
Lead
Armand Joulin
Technical leads
Kathleen Kenealy
Robert Dadashi
Alek Andreev
17

Gemma 2: Improving Open Language Models at a Practical Size","Gemma2_2024, Gemma2_2024_chunk_0057",High,Relevance: 0.70
Large Language Models. The recent years have witnessed a substantial evolution in the field of LLMs. Following the scaling laws of Kaplan et al....,"6 Related Work
Large Language Models. The recent years have witnessed a substantial evolution in the field of LLMs.
Following the scaling laws of Kaplan et al. (2020), several Large Language Models with more than 100B
parameters have been proposed, from GPT-3 (Brown et al., 2020) to Gopher (Rae et a...","Llama2_2023, Llama2_2023_chunk_0130",High,Relevance: 0.70
"MiniCPM: Unveiling the Potential of Small Language Models with Scalable Training Strategies Shengding Hu1, Yuge T u2, Xu Han1∗, Chaoqun He1, Ganqu...","MiniCPM: Unveiling the Potential of Small Language Models
with Scalable Training Strategies
Shengding Hu1, Yuge T u2, Xu Han1∗, Chaoqun He1, Ganqu Cui1, Xiang Long2,
Zhi Zheng2, Yewei Fang2, Yuxiang Huang1, Weilin Zhao1, Xinrong Zhang1,
Zheng Leng Thai1,Kaihuo Zhang2, Chongyi Wang2, Yuan Yao1,
Cheny...","MiniCPM_2024, MiniCPM_2024_chunk_0000",High,Relevance: 0.70
"Following the revelation of the scaling law (Kaplan et al., 2020), there has been a vigorous pursuit in the field of Large Language Models (LLMs)...","1 Introduction
Following the revelation of the scaling law (Kaplan et al., 2020), there has been a vigorous
pursuit in the field of Large Language Models (LLMs) (Hoffmann et al., 2022; Bai et al., 2023;
Gemini et al., 2023; Chowdhery et al., 2023; Achiam et al., 2023), encompassing models with
up to...","MiniCPM_2024, MiniCPM_2024_chunk_0003",High,Relevance: 0.70
"rporations. On the other hand, the deployment of these colossal models in everyday scenarios, such as on personal computers or smartphones, is either...","rporations. On the other hand, the deployment of these colossal models in everyday
scenarios, such as on personal computers or smartphones, is either inefficient or unfeasible.
∗Corresponding Authors.
1
1arXiv:2404.06395v3 [cs.CL] 3 Jun 2024

Both aspects underscore the imperative to refocus efforts...","MiniCPM_2024, MiniCPM_2024_chunk_0004",High,Relevance: 0.70
"Small Language Models. “Small Language Models” (SLMs) is an evolving concept that has undergone significant transformations over time. Presently, SLMs...","2 Related Work
Small Language Models. “Small Language Models” (SLMs) is an evolving concept that has
undergone significant transformations over time. Presently, SLMs are generally construed as
models that are smaller in scale compared to the well-known LLMs, typically not exceeding
7 billion paramet...","MiniCPM_2024, MiniCPM_2024_chunk_0009",High,Relevance: 0.70
of synthetic data for post-training that has been filtered with various content safety filters could provide another opportunity for improving the...,"we believe that the use
of synthetic data for post-training that has been filtered with various content safety filters
could provide another opportunity for improving the overall safety of the models. While
the journey towards fully realizing the potential of small language models is ongoing, our
wo...","Orca2_2023, Orca2_2023_chunk_0076",High,Relevance: 0.70
"We used large language models (LLMs) only for minor text polishing, such as grammar and phras- ing. All ideas, experiments, analyses, and discussions...","MODELS(LLMS)
We used large language models (LLMs) only for minor text polishing, such as grammar and phras-
ing. All ideas, experiments, analyses, and discussions were conducted solely by the authors. The
LLM did not contribute to the design and interpretation of our research.","SLMasJudge_2026, SLMasJudge_2026_chunk_0039",High,Relevance: 0.70
TinyStories : How Small Can Language Models Be and Still Speak Ronen Eldan∗and Yuanzhi Li†,"TinyStories : How Small Can Language Models Be and Still Speak
Coherent English?
Ronen Eldan∗and Yuanzhi Li†
Microsoft Research
April 2023","TinyLlama_2023, TinyLlama_2023_chunk_0000",High,Relevance: 0.70
"s ( with only one transformer block ), yet still produce fluent and consistent stories with several paragraphs that are diverse and have almost...","s ( with only one transformer block ), yet still produce
fluent and consistent stories with several paragraphs that are diverse and have almost perfect grammar, and
demonstrate reasoning capabilities.
We also introduce a new paradigm for the evaluation of language models: We suggest a framework whic...","TinyLlama_2023, TinyLlama_2023_chunk_0002",High,Relevance: 0.70
